dataset,accuracy_mean,accuracy_standard_deviation,time_training_seconds,time_test_seconds
Wine,0.7092592592592591,0.01185763747672748,0.5711957302060909,0.3376030083949445
Worms,0.674025974025974,0.02049316082864871,4.331092801206978,1.857262708104099
